21/6/2019-17:56:27:282	 User_id:2898832077	Name:hulltiger	 User Name:jasonnorris69jn
21/6/2019-17:56:27:286	 User_id:1010974134824783900	Name:Eleanora	 User Name:Elenora80020701
21/6/2019-17:56:27:288	 User_id:261814383	Name:Jenny	 User Name:Cheyenne196060
21/6/2019-17:56:27:291	 User_id:1099835996244459500	Name:Frank sowers	 User Name:Franksowers5
21/6/2019-17:56:27:296	 User_id:818143220940972000	Name:Pat koenig	 User Name:Patkoenig5
21/6/2019-17:56:27:298	 User_id:3321604148	Name:@dbreezyy._ 🌞	 User Name:Fijii_Chuloo
21/6/2019-17:56:27:302	 User_id:746853729094115300	Name:Alert17 🇺🇸	 User Name:quentinking46
21/6/2019-17:56:28:85	 User_id:1025657379067555800	Name:KAAPPAAN😈 | DEVA🔥	 User Name:deva_0412
21/6/2019-17:56:28:90	 User_id:172141399	Name:JackMack	 User Name:jackthecat11
21/6/2019-17:56:28:95	 User_id:774655247952257000	Name:helena 48	 User Name:jumpbandito
21/6/2019-17:56:28:99	 User_id:834560161180241900	Name:AngriRiku	 User Name:AngriRiku
21/6/2019-17:56:28:101	 User_id:1429985478	Name:zee 👒	 User Name:zeetbh
21/6/2019-17:56:28:104	 User_id:4778422452	Name:Sunday lofan	 User Name:SundayLofan
21/6/2019-17:56:28:105	 User_id:290693499	Name:Eva✨	 User Name:evuus_
21/6/2019-17:56:28:109	 User_id:1098380670001389600	Name:Huw	 User Name:_Huw_H
21/6/2019-17:56:29:108	 User_id:924278215467847700	Name:Mark Bourn	 User Name:Mark_Bourn14
21/6/2019-17:56:29:111	 User_id:3341878761	Name:ana	 User Name:arianavotings4
21/6/2019-17:56:29:117	 User_id:907930526765469700	Name:Jess🇸🇻🐷	 User Name:Jess_lillyy
21/6/2019-17:56:29:120	 User_id:4295289252	Name:Funding Experts	 User Name:FundingExperts
21/6/2019-17:56:29:123	 User_id:3025503057	Name:Rayonna 👑	 User Name:raaaaynaa
21/6/2019-17:56:29:126	 User_id:707598871229284400	Name:ㅤDesirée ♡	 User Name:desireelangxo
21/6/2019-17:56:29:129	 User_id:136663418	Name:Swardeston CC	 User Name:SwardestonCC
21/6/2019-17:56:29:134	 User_id:3383768865	Name:Peter	 User Name:peter_365
21/6/2019-17:56:29:137	 User_id:67391783	Name:David Toft	 User Name:dmtoft
21/6/2019-17:56:30:707	 User_id:2895332263	Name:siruno	 User Name:seansiruno
21/6/2019-17:56:30:711	 User_id:1023579977709756400	Name:niquee🌹	 User Name:ShaniquwaJ
21/6/2019-17:56:30:715	 User_id:760663323390021600	Name:Lyric	 User Name:Musiclover1789
21/6/2019-17:56:30:717	 User_id:1027182275509739500	Name:𝓍.	 User Name:xxiizi18
21/6/2019-17:56:30:722	 User_id:259400496	Name:Weare Rosie	 User Name:WeAreRosie
21/6/2019-17:56:30:728	 User_id:990859321	Name:morouj mahdi ✨ムルージュ	 User Name:morouj_mahdi
21/6/2019-17:56:30:732	 User_id:709812341869707300	Name:Koushik	 User Name:Koushik1827
21/6/2019-17:56:30:735	 User_id:1081588100080517100	Name:Charlene	 User Name:Charlen08543613
21/6/2019-17:56:30:737	 User_id:1038219019428483100	Name:Munariiiiiii✨✨✨	 User Name:officialmaimuna
21/6/2019-17:56:30:740	 User_id:2516085847	Name:#BringBackBlindspot	 User Name:Gustavo16070184
21/6/2019-17:56:30:764	 User_id:804711641027727400	Name:✖️L	 User Name:vodga333
21/6/2019-17:56:30:780	 User_id:102625662	Name:KING .	 User Name:Sololuccii
21/6/2019-17:56:30:784	 User_id:1082730734798991400	Name:Riff	 User Name:Riffulazy
21/6/2019-17:56:30:790	 User_id:2260902968	Name:어디든 마이얼링🐰💕	 User Name:real_exo0408
21/6/2019-17:56:30:791	 User_id:2194508550	Name:'beezwax,	 User Name:kamauvg
21/6/2019-17:56:30:795	 User_id:998214128488632300	Name:Sungjae Six Cash	 User Name:Lorenapassos21
21/6/2019-17:56:30:800	 User_id:1098747844175908900	Name:IIBLSS	 User Name:iiblss
21/6/2019-17:56:30:801	 User_id:1127514588747006000	Name:harriet 🎈FOLLOW LIMIT 🥺	 User Name:harrianagrannde
21/6/2019-17:56:30:803	 User_id:1082286985216172000	Name:Adam	 User Name:Adam67760181
21/6/2019-17:56:30:826	 User_id:1366477092	Name:Bayek of Siwa	 User Name:_Musyokii
21/6/2019-17:56:30:830	 User_id:302559578	Name:Ged Garry	 User Name:ged_garry
21/6/2019-17:56:30:959	 User_id:2546983612	Name:Ab Anders	 User Name:ander_GCFR
21/6/2019-17:56:31:564	 User_id:1133218451722575900	Name:🛫	 User Name:tysoIoist
